ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA
964664,21,28,369,VICENZA,5101,4970,NEGRO,U5,1,CALZADO,5,DAMA,287,ZAPATILLA,83,VESTIR,619,ZAP PUNTAL TACON MEDIO (619)
964656,21,28,395,PIETRO ALESSANDRO,1355,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,263,SAND PLAT C/TACON TALON C/PULS (263)
964663,21,28,395,PIETRO ALESSANDRO,4030,810,PLATA,U5,1,CALZADO,5,DAMA,244,SANDALIA,50,OCASIONES ESPECIALES,461,SAND OE PLAT C/TACON (461)
964650,21,28,202,LA PAG,026,2021,AMARILLO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,511,TENIS URBANO AGUJETA CAJA (511)
964658,21,28,395,PIETRO ALESSANDRO,1850,810,PLATA,U5,1,CALZADO,5,DAMA,287,ZAPATILLA,83,VESTIR,616,ZAP PUNTAL TACON ALTO (616)
964662,21,28,395,PIETRO ALESSANDRO,4905,4970,NEGRO,U5,1,CALZADO,5,DAMA,287,ZAPATILLA,83,VESTIR,619,ZAP PUNTAL TACON MEDIO (619)
972682,24,32,74,CHARLY,8064,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,42,BOTA,78,TENIS CASUAL URBANO,644,TENIS CAS URB BOTA CAJA (644)
972683,24,32,74,CHARLY,8075,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,647,TENIS CAS URB CHOCLO CAJA (647)
972685,24,32,74,CHARLY,9728,4970,NEGRO,U3,1,CALZADO,3,CABALLERO,51,CAMINAR,79,TENIS DEPORTIVO,1822,URBANO SPORT SLIP ON (1822)
972687,24,32,74,CHARLY,9623,23460,OXFORD/LIMA,U3,1,CALZADO,3,CABALLERO,85,CORRER,79,TENIS DEPORTIVO,1781,RUNNING (1781)
972691,21,28,74,CHARLY,9577,2321,ROSA/ROSA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,569,TENIS URBANO PHYLON (569)
972692,21,28,74,CHARLY,9663,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,569,TENIS URBANO PHYLON (569)
972695,21,28,74,CHARLY,9627,366,BEIGE,U5,1,CALZADO,5,DAMA,51,CAMINAR,79,TENIS DEPORTIVO,1822,URBANO SPORT SLIP ON (1822)
972680,24,32,74,CHARLY,9683,4970,NEGRO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,569,TENIS URBANO PHYLON (569)
972686,24,32,74,CHARLY,9682,812,REY,U3,1,CALZADO,3,CABALLERO,85,CORRER,79,TENIS DEPORTIVO,1781,RUNNING (1781)
972688,24,32,74,CHARLY,9673,2151,NEGRO/NEGRO,U3,1,CALZADO,3,CABALLERO,85,CORRER,79,TENIS DEPORTIVO,1781,RUNNING (1781)
972681,24,32,74,CHARLY,9801,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,569,TENIS URBANO PHYLON (569)
972689,21,28,74,CHARLY,9622,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1780,RUNNING RETRO (1780)
972693,21,28,74,CHARLY,8075,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,647,TENIS CAS URB CHOCLO CAJA (647)
972694,21,28,74,CHARLY,9627,4970,NEGRO,U5,1,CALZADO,5,DAMA,51,CAMINAR,79,TENIS DEPORTIVO,1822,URBANO SPORT SLIP ON (1822)
972684,24,32,74,CHARLY,9728,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,51,CAMINAR,79,TENIS DEPORTIVO,1822,URBANO SPORT SLIP ON (1822)
972690,21,28,74,CHARLY,9563,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,569,TENIS URBANO PHYLON (569)
974981,48,48,5587,USO GENERICO,CHJP,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,547,HOT DOGS,123,ALIMENTOS PREPARADOS,,
974992,48,48,5587,USO GENERICO,CHJ7,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,547,HOT DOGS,123,ALIMENTOS PREPARADOS,,
