ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA,Total
872763,21.0,28.0,3960,ZIA,5511,19,AZUL,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,276.0,SAND PLAT MEDIO PULSERA (276),148.0
872764,21.0,28.0,3960,ZIA,9121,1368,CAMEL,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,232.0,SAND PLAT ALTO PULSERA (232),103.0
872765,21.0,28.0,3960,ZIA,5512,839,ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,290.0,SAND PLAT MEDIO TALON C/PULS (290),0.0
181044,25.0,32.0,13,ARETINA,5630,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,12,CASUAL,1702.0,CASUAL CHOCLO DRIVER (1702),2163.0
872836,21.0,28.0,7906,PINK FASHION,333,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,50,OCASIONES ESPECIALES,38.0,SAND OC ESP TACON ALTO DELG (38),85.0
181897,22.0,27.0,870,FLEXI,2603,2179,BLANCO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,751.0,FLEXI SERVICIO (751),4035.0
872003,21.0,28.0,208,LADY PAULINA,2304,7244,MAQUILLAJE,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1993.0,SAND SUELA TRACK (1993),135.0
872001,21.0,28.0,208,LADY PAULINA,4216,810,PLATA,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,62.0,SAND TACON ALTO DELG TALON C/P (62),94.0
872006,21.0,28.0,208,LADY PAULINA,9004,785,OCRE,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,80.0,SAND TACON MEDIO ANCHO TALON C (80),376.0
872002,21.0,28.0,208,LADY PAULINA,2001,825,ROJO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,232.0,SAND PLAT ALTO PULSERA (232),246.0
872004,21.0,28.0,208,LADY PAULINA,6233,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,70.0,SAND TACON MEDIO ANCHO BOTIN (70),128.0
872009,21.0,28.0,208,LADY PAULINA,9408,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,54.0,SAND PLAT C/TACON PULSERA (54),620.0
