fecha,Ta23,Ta24,Ta25,Ta26,Ta27,,
03/12/2021 00:00,1,1,0,2,,,
04/12/2021 00:00,0,1,0,0,,,
05/12/2021 00:00,2,0,1,0,,,
06/12/2021 00:00,0,0,0,3,,,
07/12/2021 00:00,3,0,2,0,,,
08/12/2021 00:00,7,1,0,0,,,
09/12/2021 00:00,1,3,1,3,,,
10/12/2021 00:00,2,3,0,0,,,
11/12/2021 00:00,1,1,0,1,,,
12/12/2021 00:00,5,4,1,0,,,
13/12/2021 00:00,3,3,3,0,,,
14/12/2021 00:00,5,8,2,4,,,
15/12/2021 00:00,3,3,1,0,,,
16/12/2021 00:00,3,0,2,0,,,
17/12/2021 00:00,3,-1,4,0,,,
18/12/2021 00:00,3,5,3,-1,,,
19/12/2021 00:00,-1,3,2,0,,,
20/12/2021 00:00,1,1,1,2,,,
21/12/2021 00:00,5,1,1,0,,,
22/12/2021 00:00,2,5,2,1,,,
23/12/2021 00:00,2,3,2,1,,,
24/12/2021 00:00,0,2,1,0,,,
25/12/2021 00:00,0,0,0,0,,,
26/12/2021 00:00,-1,0,0,0,,,
27/12/2021 00:00,2,3,0,0,,,
28/12/2021 00:00,-1,4,0,0,,,
29/12/2021 00:00,2,0,2,0,,,
30/12/2021 00:00,4,2,3,0,,,
31/12/2021 00:00,1,1,0,1,,,
01/01/2022 00:00,0,0,0,0,,,
02/01/2022 00:00,0,1,0,1,,,
03/01/2022 00:00,6,0,5,2,,,
04/01/2022 00:00,1,2,0,0,,,
05/01/2022 00:00,3,3,1,1,,,
06/01/2022 00:00,3,2,1,1,,,
07/01/2022 00:00,0,1,0,0,,,
08/01/2022 00:00,1,3,0,0,,,
09/01/2022 00:00,0,0,2,0,,,
10/01/2022 00:00,2,4,1,1,,,
11/01/2022 00:00,0,2,1,1,,,
12/01/2022 00:00,0,2,1,-1,,,
13/01/2022 00:00,0,3,0,1,,,
14/01/2022 00:00,2,0,1,0,,,
15/01/2022 00:00,1,3,0,0,,,
16/01/2022 00:00,8,3,2,2,,,
17/01/2022 00:00,3,1,0,1,,,
18/01/2022 00:00,1,2,5,1,,,
19/01/2022 00:00,6,4,4,1,,,
20/01/2022 00:00,2,0,3,-1,,,
21/01/2022 00:00,3,2,1,-1,,,
22/01/2022 00:00,0,0,0,0,,,
23/01/2022 00:00,0,2,1,0,,,
24/01/2022 00:00,2,3,0,0,,,
25/01/2022 00:00,1,1,0,0,,,
26/01/2022 00:00,1,1,0,1,,,
27/01/2022 00:00,1,2,1,2,,,
28/01/2022 00:00,2,3,2,0,,,
29/01/2022 00:00,4,3,3,2,,,
30/01/2022 00:00,0,3,3,0,,,
31/01/2022 00:00,9,3,0,-2,,,
01/02/2022 00:00,1,0,1,0,,,
02/02/2022 00:00,2,5,1,0,,,
03/02/2022 00:00,2,3,2,1,,,
04/02/2022 00:00,4,5,4,1,,,
05/02/2022 00:00,2,3,1,3,,,
06/02/2022 00:00,4,4,0,2,,,
07/02/2022 00:00,2,2,2,0,,,
08/02/2022 00:00,0,0,0,1,,,
09/02/2022 00:00,2,1,1,0,,,
10/02/2022 00:00,3,1,3,1,,,
11/02/2022 00:00,1,2,-1,-1,,,
12/02/2022 00:00,0,3,1,0,,,
13/02/2022 00:00,6,1,1,3,,,
14/02/2022 00:00,4,6,2,0,,,
15/02/2022 00:00,0,1,1,1,,,
16/02/2022 00:00,3,4,3,1,,,
17/02/2022 00:00,3,2,0,1,,,
18/02/2022 00:00,4,5,1,2,,,
19/02/2022 00:00,2,3,0,1,,,
20/02/2022 00:00,2,2,1,0,,,
